citation_num,citation_code,authors,title,publisher,publication_year,journal,issue,volume,pages,book_title,book_editor,doi
1,"CHRISTIE, 1981","CHRISTIE, D M; SINTON, J M",EVOLUTION OF ABYSSAL LAVAS ALONG PROPAGATING SEGMENTS OF THE GALAPAGOS SPREADING CENTER,,1981,EARTH PLANET SCI LETT,,56,321-335,,,10.1016/0012-821X(81)90137-0
3,"VERMA, 1982","VERMA, S P; SCHILLING, J-G",GALAPAGOS HOT SPOT SPREADING CENTER SYSTEM  2. 87SR/86SR AND LARGE ION LITHOPHILE ELEMENT VARIATIONS  (85 DEGREE W-101 DEGREE W),NULL,1982,J GEOPHYS RES,NULL,87,10838-10856,NULL,NULL,10.1029/JB087iB13p10838
4,"FISK, 1982","FISK, M R; BENCE, A E; SCHILLING, J-G",MAJOR ELEMENT CHEMISTRY OF GALAPAGOS RIFT ZONE MAGMAS AND THEIR PHENOCRYSTS,,1982,EARTH PLANET SCI LETT,,61,171-189,,,10.1016/0012-821X(82)90050-4
5,"BYERS, 1984","BYERS, C D; CHRISTIE, D M; MUENOW, D W; SINTON, J M","VOLATILE CONTENTS AND FERRIC-FERROUS RATIOS OF BASALT, FERROBASALT, ANDESITE AND RHYODACITE GLASSES FROM THE GALAPAGOS 95.5 DEGREE W PROPAGATING RIFT",,1984,GEOCHIM COSMOCHIM ACTA,,48,2239-2245,,,10.1016/0016-7037(84)90220-5
6,"CLAGUE, 1981","CLAGUE, D A; FREY, F A; THOMPSON, G; RINDGE, S",MINOR AND TRACE ELEMENT GEOCHEMISTRY OF VOLCANIC ROCKS DREDGED FROM THE GALAPAGOS SPREADING CENTER: ROLE OF CRYSTAL FRACTIONATION AND MANTLE HETEROGENEITY,,1981,J GEOPHYS RES,,86,9469-9482,,,10.1029/JB086iB10p09469
7,"BYERLY, 1980","BYERLY, G R",THE NATURE OF DIFFERENTIATION TRENDS IN SOME VOLCANIC ROCKS FROM THE GALAPAGOS SPREADING CENTER,,1980,J GEOPHYS RES,,85,3797-3810,,,10.1029/JB085iB07p03797
10,"VERMA, 1981","VERMA, S P","K, RB, CS, BA AND SR CONTENTS AND SR ISOTOPE RATIOS OF IGNEOUS ROCKS FROM DEEP SEA DRILLING PROJECT LEG 63",,1981,INIT REP DSDP,,63,733-738,,,10.2973/dsdp.proc.63.128.1981
11,"SCHILLING, 1982","SCHILLING, J-G; KINGSLEY, R H; DEVINE, J D",GALAPAGOS HOT SPOT SPREADING CENTER SYSTEM 1. SPATIAL PETROLOGICAL AND GEOCHEMICAL VARIATIONS (83 DEGREE W-101 DEGREE W),,1982,J GEOPHYS RES,,87,5593-5610,,,10.1029/JB087iB07p05593
13,"ANDERSON, 1975","ANDERSON, R N; CLAGUE, D A; KLITGORD, K D; MARSHALL, M; NISHIMORI, R K",MAGNETIC AND PETROLOGIC VARIATIONS ALONG THE GALAPAGOS SPREADING CENTER AND THEIR RELATION TO THE GALAPAGOS MELTING ANOMALY,NULL,1975,GEOL SOC AMER BULL,NULL,86,683-694,NULL,NULL,10.1130/0016-7606(1975)86<683:MAPVAT>2.0.CO;2
14,"LANGMUIR, 1999","LANGMUIR, C H","SUBMITTED DATA SET: MAJOR AND TRACE ELEMENT COMPOSITION OF BASALT GLASSES FROM THE CHEPR CRUISE, EAST PACIFIC RISE",,1999,EARTHCHEM LIBRARY,,,NULL,,,10.1594/IEDA/100441
15,"CHRISTIE, 1986","CHRISTIE, D M; SINTON, J M","MAJOR ELEMENT CONSTRAINTS ON MELTING, DIFFERENTIATION AND MIXING OF MAGMAS FROM THE GALAPAGOS 95.5 DEGREE W PROPAGATING RIFT SYSTEM",,1986,CONTRIB MINERAL PETROL,,94,274-288,,,10.1007/BF00371437
16,"BYERLY, 1976","BYERLY, G R; MELSON, W G; VOGT, P R","RHYODACITES, ANDESITES, FERRO-BASALTS AND OCEAN THOLEIITES FROM THE GALAPAGOS SPREADING CENTER",NULL,1976,EARTH PLANET SCI LETT,NULL,30,215-221,NULL,NULL,10.1016/0012-821X(76)90248-X
17,"BYERS, 1983","BYERS, C D; MUENOW, D W; GARCIA, M O","VOLATILES IN BASALTS AND ANDESITES FROM THE GALAPAGOS SPREADING CENTER, 85 DEGREE  TO 86 DEGREE W",,1983,GEOCHIM COSMOCHIM ACTA,,47,1551-1558,,,10.1016/0016-7037(83)90181-3
18,"BRYAN, 1978","BRYAN, W B; SARGENT, D","BASALT FROM 22 DEGREE -23 DEGREE N, MID-ATLANTIC RIDGE MEDIAN VALLEY",,1978,INIT REP DSDP,,45,653-655,,,10.2973/dsdp.proc.45.140.1979
19,"BRYAN, 1979","BRYAN, W B; THOMPSON, G; MICHAEL, P J",COMPOSITIONAL VARIATION IN A STEADY-STATE ZONED MAGMA CHAMBER: MID-ATLANTIC RIDGE AT 36 DEGREE 50ÕN,,1979,TECTONOPHYSICS,,55,63-85,,,10.1016/0040-1951(79)90335-4
20,"BOUGAULT, 1980","BOUGAULT, H; TREUIL, M",MID-ATLANTIC RIDGE: ZERO-AGE GEOCHEMICAL VARIATIONS BETWEEN AZORES AND 22 DEGREE N,,1980,NATURE,,286,209-212,,,10.1038/286209a0
21,"JORON, 1980","JORON, J-L; BOLLINGER, C; QUISEFIT, J P; BOUGAULT, H; TREUIL, M","TRACE ELEMENTS IN CRETACEOUS BASALTS AT 25 DEGREE N IN THE ATLANTIC OCEAN: ALTERATION, MANTLE COMPOSITIONS, AND MAGMATIC PROCESSES",,1980,INIT REP DSDP,,51-53,1087-1098,,,10.2973/dsdp.proc.515253.132.1980
22,"DIXON, 1988","DIXON, J E; STOLPER, E; DELANEY, J R",INFRARED SPECTROSCOPIC MEASUREMENTS OF CO2 AND H2O IN JUAN DE FUCA RIDGE BASALTIC GLASSES,,1988,EARTH PLANET SCI LETT,,90,87-104,,,10.1016/0012-821X(88)90114-8
24,"HAMELIN, 1985","HAMELIN, B; DUPRE, B; ALLEGRE, C J",PB-SR-ND ISOTOPE DATA OF INDIAN OCEAN RIDGES: NEW EVIDENCE OF LARGE-SCALE MAPPING OF MANTLE HETEROGENEITIES,,1985,EARTH PLANET SCI LETT,,76,288-298,,,10.1016/0012-821X(86)90080-4
25,"LE ROEX, 1983","LE ROEX, A P; DICK, H J B; ERLANK, A J; REID, A M; FREY, F A; HART, S R","GEOCHEMISTRY, MINERALOGY AND PETROGENESIS OF LAVAS ERUPTED ALONG THE SOUTHWEST INDIAN RIDGE BETWEEN THE BOUVET TRIPLE JUNCTION AND 11 DEGREE E",,1983,J PETROL,,24,267-318,,,10.1093/petrology/24.3.267
26,"LE ROEX, 1989","LE ROEX, A P; DICK, H J B; FISHER, R L",PETROLOGY AND GEOCHEMISTRY OF MORB FROM 25 DEGREE E TO 46 DEGREE E ALONG THE  SOUTHWEST INDIAN RIDGE: EVIDENCE FOR CONTRASTING STYLES OF MANTLE ENRICHMENT,,1989,J PETROL,,30,947-986,,,10.1093/petrology/30.4.947
27,"LE ROEX, 1982","LE ROEX, A P; DICK, H J B; REID, A M; ERLANK, A J",FERROBASALT FROM THE SPIESS RIDGE SEGMENT OF THE SOUTHWEST INDIAN RIDGE,,1982,EARTH PLANET SCI LETT,,60,437-451,,,10.1016/0012-821X(82)90079-6
28,"MAHONEY, 1989","MAHONEY, J J; NATLAND, J H; WHITE, W M; POREDA, R J; BLOOMER, S H; FISHER, R L; BAXTER, A N",ISOTOPIC AND GEOCHEMICAL PROVINCES OF THE WESTERN INDIAN OCEAN SPREADING CENTERS,,1989,J GEOPHYS RES,,94,4033-4052,,,10.1029/JB094iB04p04033
